Id;Country;Type;Materic;Capital;Area;Population;Population_density
1;Абхазия;Частично признанное государство;Евразия;Сухуми;8665;243564;28
2;Австралия;Государство;Австралия;Канберра;7692024;24067700;3
3;Австрия;Государство;Евразия;Вена;83879;8711770;102
4;Азад Джамму и Кашмир;Территория Пакистана;Евразия;Музаффарабад;11639;3631224;312
5;Азербайджан;Государство;Евразия;Баку;86600;9574000;111
6;Аландские острова;Территория Финляндии;Евразия;Маарианхамина (Мариехамн);1553;29214;19
7;Албания;Государство;Евразия;Тирана;28748;3038594;100
8;Алжир;Государство;Африка;Алжир;2381740;40400000;16
9;Ангилья;Территория Великобритании;Северная Америка;Валли;91;13572;132
10;Ангола;Государство;Африка;Луанда;1246700;20172332;21
11;Андорра;Государство;Евразия;Андорра-ла-Велья;468;85470;183
12;Антигуа и Барбуда;Государство;Северная Америка;Сент-Джонс;440;93581;186
13;Аргентина;Государство;Южная Америка;Буэнос-айрес;2780400;43417000;14
14;Армения;Государство;Евразия;Ереван;29743;2986100;100
15;Аруба;Самоуправляемое государство ;Северная Америка;Ораньестад;179;103889;581
16;Афганистан;Государство;Евразия;Кабул;652864;32564342;44
17;Багамские Острова;Государство;Северная Америка;Нассау;13878;321834;23
18;Бангладеш;Государство;Евразия;Дакка;147570;168957745;1155
19;Барбадос;Государство;Северная Америка;Бриджтаун;439;277821;660
20;Бахрейн;Государство;Евразия;Манама;766;1343000;1627
21;Белиз;Государство;Северная Америка;Бельмопан;22966;347369;14
22;Белоруссия;Государство;Евразия;Минск;207600;9505200;46
23;Бельгия;Государство;Евразия;Брюссель;30528;11358952;368
24;Бенин;Государство;Африка;Порто-Ново, Котону;112622;10741458;79
25;Бермудские Острова;Территория Великобритании;Северная Америка;Гамильтон;53;64237;1207
26;Болгария;Государство;Евразия;София;110994;7101859;63
27;Боливия;Государство;Южная Америка;Сукре;1098581;10461053;10
28;Бонайре, Бонэйр;Особая община Нидерландов;Северная Америка;Кралендейк;288;15666;54
29;Босния и Герцеговина;Государство;Евразия;Сараево;51197;3531159;69
30;Ботсвана;Государство;Африка;Габороне;581730;2112049;3
31;Бразилия;Государство;Южная Америка;Бразилиа (Бразилия);8515770;205737996;22
32;Бруней;Государство;Евразия;Бандар-Сери-Бегаван;5765;401890;67
33;Буркина-Фасо;Государство;Африка;Уагадугу;273187;17692391;58
34;Бурунди;Государство;Африка;Бужумбура;27830;11099298;323
35;Бутан;Государство;Евразия;Тхимпху;38394;750125;18
36;Вануату;Государство;Меланезия;Порт-Вила;12190;277554;19
37;Ватикан;Государство;Евразия;Ватикан;0;1000;1914
38;Великобритания;Государство;Евразия;Лондон;243809;63395574;246
39;Венгрия;Государство;Евразия;Будапешт;93036;9809004;106
40;Венесуэла;Государство;Южная Америка;Каракас;916445;30761000;32
41;Виргинские Острова;Территория Великобритании;Северная Америка;Род-Таун;153;25000;163
42;Виргинские Острова (США);Территория США;Северная Америка;Шарлотта-Амалия;346;106405;307
43;Восточный Тимор;Государство;Евразия;Дили;15007;1066409;72
44;Вьетнам;Государство;Евразия;Ханой;331210;92477857;273
45;Габон;Государство;Африка;Либревиль;267667;1738541;7
46;Гаити;Государство;Северная Америка;Порт-о-Пренс;27750;9893934;328
47;Гайана;Государство;Южная Америка;Джорджтаун;214970;751223;3
48;Гамбия;Государство;Африка;Банжул;10380;1878999;156
49;Гана;Государство;Африка;Аккра;238537;25199609;106
50;Гваделупа;Территория Франции;Северная Америка;Бас-Тер;1628;404635;249
51;Гватемала;Государство;Северная Америка;Гватемала;108889;14373472;119
52;Гвинея;Государство;Африка;Конакри;245857;11176026;39
53;Гвинея-Бисау;Государство;Африка;Бисау;36120;1647000;44
54;Германия;Государство;Евразия;Берлин;357021;82175684;227
55;Гернси;Территория Великобритании;Евразия (остров);Сент-Питер-Порт;78;62711;804
56;Гибралтар;Территория Великобритании;Евразия (остров);Гибралтар;7;33140;5098
57;Гондурас;Государство;Северная Америка;Тегусигальпа;112090;8448465;63
58;Гонконг;Специальный административный район;Евразия;-;1104;7182724;6480
59;Гренада;Государство;Северная Америка;Сент-Джорджес;344;89502;672
60;Гренландия;Территория Дании;Северная Америка;Нуук (Нук или Готхоб);2130800;57728;0
61;Греция;Государство;Евразия;Афины;131957;10955000;85
62;Грузия;Государство;Евразия;Тбилиси;69700;3718200;65
63;Гуам;Территория США;Микронезия;Хагатна;541;159358;320
64;Дания;Государство;Евразия;Копенгаген;43094;5693085;126
65;Демократическая республика Конго;Государство;Африка;Киншаса;2345410;77433744;28
66;Джерси;Территория Великобритании;Евразия (остров);Сент-Хелиер;118;100080;819
67;Джибути;Государство;Африка;Джибути;23200;818169;35
68;Доминика;Государство;Северная Америка;Розо;754;73607;93
69;Доминиканская Республика;Государство;Северная Америка;Санто-Доминго;48730;10734247;201
70;Донецкая Народная Республика;Непризнанное государство;Евразия;Донецк;;2299120;
71;Египет;Государство;Африка;Каир;1001450;88487396;85
72;Замбия;Государство;Африка;Лусака;752614;14222233;17
73;Зимбабве;Государство;Африка;Хараре;390757;14229541;26
74;Израиль;Государство;Евразия;Иерусалим;20770;8680000;387
75;Индия;Государство;Евразия;Нью-Дели;3287263;1313204000;364
76;Индонезия;Государство;Евразия;Джакарта;1919440;257563000;131
77;Иордания;Государство;Евразия;Амман;92300;9856034;68
78;Ирак;Государство;Евразия;Багдад;435052;37056169;83
79;Иран;Государство;Евразия;Тегеран;1648000;78408412;42
80;Ирландия;Государство;Евразия;Дублин;70273;4593100;60
81;Исландия;Государство;Евразия;Рейкьявик;103125;321857;3
82;Испания;Государство;Евразия;Мадрид;505990;46468102;92
83;Италия;Государство;Евразия;Рим;301340;60795612;201
84;Йемен;Государство;Евразия;Сана;527970;25408288;44
85;Кабо-Верде;Государство;Африка;Прая;4033;523568;130
86;Казахстан;Государство;Евразия;Астана;2724902;18054014;7
87;Каймановы острова;Территория Великобритании;Северная Америка;Джорджтаун;264;54397;206
88;Камбоджа;Государство;Евразия;Пномпень;181040;15708756;87
89;Камерун;Государство;Африка;Яунде;475442;20549221;34
90;Канада;Государство;Северная Америка;Оттава;9984670;36048521;3
91;Канарские острова;Территория Испании;Африка;Лас-Пальмас де Гран-Канария ;7447;1995833;285
92;Катар;Государство;Евразия;Доха;11586;2258283;147
93;Кения;Государство;Африка;Найроби;582650;44037656;65
94;Кипр;Государство;Евразия;Никосия;9250;1142575;117
95;Киргизия;Государство;Евразия;Бишкек;199951;6019500;29
96;Кирибати;Государство;Микронезия и Полинезия;Южная Тарава;812;103058;127
97;Китай;Государство;Евразия;Пекин;9598962;1380083000;144
98;Китайская Республика (Тайвань);Частично признанное государство;Евразия;Тайбэй;35980;23299716;648
99;Кокосовые острова;Территория Австралии;Евразия (остров);Уэст-айленд;14;596;43
100;Колумбия;Государство;Южная Америка;Богота;1141748;48400388;41
101;Коморские острова;Государство;Африка;Морони;2235;806153;433
102;Конго;Государство;Африка;Браззавиль;342000;4233063;12
103;Корейская Народно-Демократическая Республика;Государство;Евразия;Пхеньян;120540;24720407;198
104;Корея;Государство;Евразия;Сеул;99720;51732586;515
105;Косово;Частично признанное государство;Евразия;Приштина;10887;1883018;220
106;Коста-Рика;Государство;Северная Америка;Сан-Хосе;51100;4825144;85
107;Кот-д’Ивуар;Государство;Африка;Ямусукро;322460;23740424;65
108;Куба;Государство;Северная Америка;Гавана;110860;11239004;102
109;Кувейт;Государство;Евразия;Эль-Кувейт;17818;3268431;131
110;Кюрасао;Территория Нидерландов;Северная Америка;Виллемстад (Виллемстадт);444;158986;349
